Date,Country,Description
2016-03-22,Belgium,"A series of deadly terrorist attacks struck Brussels, with two explosions at the city’s main international airport and a third in a subway station at the heart of the city, near the headquarters complex of the European Union. More »"
2016-03-19,Turkey,A suicide bombing on Istanbul's busiest thoroughfare killed three Israeli citizens and an Iranian. Two of the Israelis held dual Israeli-American citizenship. More »
2016-03-04,Yemen,Gunmen killed 18 people at a nursing home founded by Mother Teresa and run by Christian nuns. More »
2016-01-29,Yemen,"A bomb-packed car driven by a suicide attacker exploded at a checkpoint near the presidential palace in the southern city of Aden, killing at least eight people. More »"
2016-01-14,Indonesia,"ISIS claimed responsibility for explosions and gunfire that rocked central Jakarta, killing at least two civilians. More »"
2016-01-12,Turkey,"A Syrian suicide bomber set off an explosion in the historic central district of Istanbul, killing 10 people and wounding at least 15 others, in an attack the Turkish government attributed to ISIS. More »"
2016-01-11,France,"A teenager attacked a Jewish teacher with a machete in Marseille, and afterward told the police that he had carried out the attack in the name of God and the Islamic State.   "
2016-01-08,Egypt,"Gunmen reportedly carrying an ISIS flag opened fire at a Red Sea resort, injuring at least two tourists. More »"
2016-01-07,Egypt,ISIS claimed responsibility for an attack on a hotel in Cairo near the pyramids at Giza. No one was hurt. More »
2016-01-07,Pennsylvania,"A man shot and wounded a Philadelphia police officer sitting in a patrol car in the name of Islam and the Islamic State, police said. More »"
2016-01-04,Libya,"Islamic State militants attempted to capture an oil port along Libya’s coast, in fighting that left at least seven people dead. "
2015-12-07,Yemen,The Islamic State claimed responsibility for a car bomb that killed a provincial governor and eight of his body guards. More »
2015-12-02,California,"A married couple shot and killed 14 people in San Bernardino, Calif. The FBI is investigating the shooting as an act of terrorism inspired by ISIS. More »"
2015-11-26,Bangladesh,"ISIS claimed responsiblity for an attack on a Shiite mosque during evening prayer in which gunmen opened fire on worshipers with machine guns, killing one man and injuring three others. More »"
2015-11-24,Egypt,"ISIS militants attacked a hotel in the northern Sinai Peninsula, killing at least seven people. "
2015-11-18,France,A teacher at a Jewish school in Marseille was stabbed by three people who appeared to profess support for ISIS. More »
2015-11-13,France,President François Hollande blamed the Islamic State for terrorist attacks across Paris that killed more than 100 people. The Islamic State claimed responsiblity.  More »
2015-11-12,Lebanon,"ISIS claimed responsiblity for a double suicide bombing that ripped through a busy shopping district at rush hour, killing at least 43 people. More »"
2015-11-04,Egypt,ISIS's Sinai affiliate claimed responsiblity for a suicide bombing that killed at least four police officers. More »
2015-11-04,Bangladesh,ISIS claimed responsibility for a stabbing and shooting that left one police officer dead and another wounded. More »
2015-10-31,Egypt,An ISIS affiliate in Sinai claimed responsiblity for the downing of a Russian passenger jet that killed all 224 people on board. More »
2015-10-30,Turkey,ISIS militants killed two Syrian anti-ISIS activists. 
2015-10-24,Bangladesh,ISIS claimed responsiblity for bombings that killed one person and wounded dozens more during a procession commemorating a Shiite Muslim holiday. More »
2015-10-10,Turkey,Two explosions killed more than 100 people who had gathered for a peace rally in Turkey's capital. Turkish officials believe ISIS is responsible.  More »
2015-10-06,Yemen,A series of bombings in Yemen's two largest cities killed at least 25 people.  More »
2015-10-03,Bangladesh,ISIS claimed responsibilty for the shooting death of a Japanese man riding a rickshaw. More »
2015-09-28,Bangladesh,ISIS claimed responsiblity for the shooting death of an Italian aid worker. More »
2015-09-24,Yemen,"At least 25 people were killed when two bombs went off outside a mosque during prayers to commemorate Eid al-Adha, a major Muslim holiday. More »"
2015-09-18,Libya,Militants loyal to the Islamic State attacked a prison inside a Tripoli air base. More »
2015-09-17,Germany,An Iraqi man was shot dead after he stabbed a policewoman in Berlin. 
2015-09-02,Yemen,Yemen's ISIS affiliate claimed responsibility for two bombings at a mosque that killed at least 20 people. More »
2015-08-26,Egypt,The Sinai Province of the Islamic State group claimed responsibility for three gunmen who shot and killed two police officers. 
2015-08-21,France,"A gunman opened fire aboard a packed high-speed train traveling from Amsterdam to Paris, wounding several passengers before he was tackled and subdued by three Americans.  "
2015-08-20,Egypt,An ISIS affiliate claimed responsibility for bombing a branch of the Egyptian security agency. More »
2015-08-12,Egypt,"An ISIS affiliate said it had beheaded a Croatian expatriate worker because of Croatia's ""participation in the war against the Islamic State."" More »"
